äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
solgutatud, solgutatu, solgutatut, solgutatusse, solgutatute, solgutatuid
solidaarne, solidaarse, solidaarset, solidaarsesse, solidaarsete, solidaarseid
soliidne, soliidse, soliidset, soliidsesse, soliidsete, soliidseid
sõlmeline, sõlmelise, sõlmelist, sõlmelisesse|sõlmelisse, sõlmeliste, sõlmelisi
sõlmitu, sõlmitu, sõlmitut, sõlmitusse, sõlmitute, sõlmituid
sõlmjas, sõlmja, sõlmjat, sõlmjasse, sõlmjate, sõlmjaid
sõltumatu, sõltumatu, sõltumatut, sõltumatusse, sõltumatute, sõltumatuid
sõltuv, sõltuva, sõltuvat, sõltuvasse, sõltuvate, sõltuvaid
somaatiline, somaatilise, somaatilist, somaatilisesse|somaatilisse, somaatiliste, somaatilisi
sombuline, sombulise, sombulist, sombulisesse|sombulisse, sombuliste, sombulisi
sõmerdatu, sõmerdatu, sõmerdatut, sõmerdatusse, sõmerdatute, sõmerdatuid
sõmerjas, sõmerja, sõmerjat, sõmerjasse, sõmerjate, sõmerjaid
sõmer, sõmera, sõmerat, sõmerasse, sõmerate, sõmeraid
sõnaline, sõnalise, sõnalist, sõnalisesse|sõnalisse, sõnaliste, sõnalisi
sõnastuslik, sõnastusliku, sõnastuslikku, sõnastuslikusse|sõnastuslikku, sõnastuslike|sõnastuslikkude, sõnastuslikke|sõnastuslikkusid
sööbiv, sööbiva, sööbivat, sööbivasse, sööbivate, sööbivaid
söödav, söödava, söödavat, söödavasse, söödavate, söödavaid
soodne, soodsa, soodsat, soodsasse, soodsate, soodsaid
söödud, söödu, söödut, söödusse, söödute, sööduid
soodus, soodsa, soodsat, soodsasse, soodsate, soodsaid
sööjalik, sööjaliku, sööjalikku, sööjalikusse|sööjalikku, sööjalike|sööjalikkude, sööjalikke|sööjalikkusid
soojane, soojase, soojast, soojasesse, soojaste, soojaseid
soojuslik, soojusliku, soojuslikku, soojuslikusse|soojuslikku, soojuslike|soojuslikkude, soojuslikke|soojuslikkusid
soolane, soolase, soolast, soolasesse, soolaste, soolaseid
sooline, soolise, soolist, soolisesse|soolisse, sooliste, soolisi|sooliseid
sooneline, soonelise, soonelist, soonelisesse|soonelisse, sooneliste, soonelisi
soonikas, soonika, soonikat, soonikasse, soonikate, soonikaid
sooniline, soonilise, soonilist, soonilisesse|soonilisse, sooniliste, soonilisi
soonine, soonise, soonist, soonisesse, sooniste, sooniseid
söönud, söönu, söönut, söönusse, söönute, söönuid
sõõrjas, sõõrja, sõõrjat, sõõrjasse, sõõrjate, sõõrjaid
soositu, soositu, soositut, soositusse, soositute, soosituid
sootu, sootu, sootut, sootusse, sootute, sootuid
soovimatu, soovimatu, soovimatut, soovimatusse, soovimatute, soovimatuid
soovitav, soovitava, soovitavat, soovitavasse, soovitavate, soovitavaid
soovitud, soovitu, soovitut, soovitusse, soovitute, soovituid
sooviv, sooviva, soovivat, soovivasse, soovivate, soovivaid
soovlik, soovliku, soovlikku, soovlikusse|soovlikku, soovlike|soovlikkude, soovlikke|soovlikkusid
sorav, sorava, soravat, soravasse, soravate, soravaid
sotsiaalne, sotsiaalse, sotsiaalset, sotsiaalsesse, sotsiaalsete, sotsiaalseid
sotsialistlik, sotsialistliku, sotsialistlikku, sotsialistlikusse|sotsialistlikku, sotsialistlike|sotsialistlikkude, sotsialistlikke|sotsialistlikkusid
spasmiline, spasmilise, spasmilist, spasmilisesse|spasmilisse, spasmiliste, spasmilisi
spektiivne, spektiivse, spektiivset, spektiivsesse, spektiivsete, spektiivseid
spetsiaalne, spetsiaalse, spetsiaalset, spetsiaalsesse, spetsiaalsete, spetsiaalseid
spetsiifiline, spetsiifilise, spetsiifilist, spetsiifilisesse|spetsiifilisse, spetsiifiliste, spetsiifilisi
spiraalne, spiraalse, spiraalset, spiraalsesse, spiraalsete, spiraalseid
spirituaalne, spirituaalse, spirituaalset, spirituaalsesse, spirituaalsete, spirituaalseid
spontaanne, spontaanse, spontaanset, spontaansesse, spontaansete, spontaanseid
sporaadiline, sporaadilise, sporaadilist, sporaadilisesse|sporaadilisse, sporaadiliste, sporaadilisi
sportlik, sportliku, sportlikku, sportlikusse|sportlikku, sportlike|sportlikkude, sportlikke|sportlikkusid
staatiline, staatilise, staatilist, staatilisesse|staatilisse, staatiliste, staatilisi
staažikas, staažika, staažikat, staažikasse, staažikate, staažikaid
stabiilne, stabiilse, stabiilset, stabiilsesse, stabiilsete, stabiilseid
stagneerunu, stagneerunu, stagneerunut, stagneerunusse, stagneerunute, stagneerunuid
standardne, standardse, standardset, standardsesse, standardsete, standardseid
statistiline, statistilise, statistilist, statistilisesse|statistilisse, statistiliste, statistilisi
statsionaarne, statsionaarse, statsionaarset, statsionaarsesse, statsionaarsete, statsionaarseid
stellaarne, stellaarse, stellaarset, stellaarsesse, stellaarsete, stellaarseid
steriilne, steriilse, steriilset, steriilsesse, steriilsete, steriilseid
stiihiline, stiihilise, stiihilist, stiihilisesse|stiihilisse, stiihiliste, stiihilisi
stiilitu, stiilitu, stiilitut, stiilitusse, stiilitute, stiilituid
stiilne, stiilse, stiilset, stiilsesse, stiilsete, stiilseid
stimuleeritu, stimuleeritu, stimuleeritut, stimuleeritusse, stimuleeritute, stimuleerituid
stohhastiline, stohhastilise, stohhastilist, stohhastilisesse|stohhastilisse, stohhastiliste, stohhastilisi
stoiline, stoilise, stoilist, stoilisesse|stoilisse, stoiliste, stoilisi|stoiliseid
struktureeritu, struktureeritu, struktureeritut, struktureeritusse, struktureeritute, struktureerituid
subjektiivne, subjektiivse, subjektiivset, subjektiivsesse, subjektiivsete, subjektiivseid
subliimne, subliimse, subliimset, subliimsesse, subliimsete, subliimseid
südajas, südaja, südajat, südajasse, südajate, südajaid
südametu, südametu, südametut, südametusse, südametute, südametuid
südamlik, südamliku, südamlikku, südamlikusse|südamlikku, südamlike|südamlikkude, südamlikke|südamlikkusid
sügav, sügava, sügavat, sügavasse, sügavate, sügavaid
sugestiivne, sugestiivse, sugestiivset, sugestiivsesse, sugestiivsete, sugestiivseid
sügisene, sügisese, sügisest, sügisesesse|sügisesse, sügiseste, sügisesi
suguline, sugulise, sugulist, sugulisesse|sugulisse, suguliste, sugulisi
sugune, suguse, sugust, sugusesse, suguste, suguseid
sugutu, sugutu, sugutut, sugutusse, sugutute, sugutuid
suhteline, suhtelise, suhtelist, suhtelisesse|suhtelisse, suhteliste, suhtelisi
suhtlev, suhtleva, suhtlevat, suhtlevasse, suhtlevate, suhtlevaid
suitsjas, suitsja, suitsjat, suitsjasse, suitsjate, suitsjaid
suitsune, suitsuse, suitsust, suitsusesse, suitsuste, suitsuseid
sujuv, sujuva, sujuvat, sujuvasse, sujuvate, sujuvaid
sulanu, sulanu, sulanut, sulanusse, sulanute, sulanuid
sula, sula, sula, sulasse, sulade, sulasid
suletud, suletu, suletut, suletusse, suletute, suletuid
sulgne, sulgse, sulgset, sulgsesse, sulgsete, sulgseid
sulgunu, sulgunu, sulgunut, sulgunusse, sulgunute, sulgunuid
suline, sulise, sulist, sulisesse, suliste, suliseid
sulnis, sulni, sulnist, sulnisse, sulniste, sulneid
sültjas, sültja, sültjat, sültjasse, sültjate, sültjaid
sumbe, sumbe, sumbet, sumbesse, sumbete, sumbeid
sume, sumeda, sumedat, sumedasse, sumedate, sumedaid
sümmeetriline, sümmeetrilise, sümmeetrilist, sümmeetrilisesse|sümmeetrilisse, sümmeetriliste, sümmeetrilisi
sümpaatne, sümpaatse, sümpaatset, sümpaatsesse, sümpaatsete, sümpaatseid
sundimatu, sundimatu, sundimatut, sundimatusse, sundimatute, sundimatuid
sündinud, sündinu, sündinut, sündinusse, sündinute, sündinuid
sundiv, sundiva, sundivat, sundivasse, sundivate, sundivaid
sündmatu, sündmatu, sündmatut, sündmatusse, sündmatute, sündmatuid
sündsusetu, sündsusetu, sündsusetut, sündsusetusse, sündsusetute, sündsusetuid
sunduslik, sundusliku, sunduslikku, sunduslikusse|sunduslikku, sunduslike|sunduslikkude, sunduslikke|sunduslikkusid
sünge, sünge, sünget, süngesse, süngete, süngeid
sünkjas, sünkja, sünkjat, sünkjasse, sünkjate, sünkjaid
sünkrooniline, sünkroonilise, sünkroonilist, sünkroonilisesse|sünkroonilisse, sünkrooniliste, sünkroonilisi
sünkroonne, sünkroonse, sünkroonset, sünkroonsesse, sünkroonsete, sünkroonseid
sünk, sünga, sünka, süngasse|sünka, sünkade, sünki|sünkasid
sünnis, sündsa, sündsat|sünnist, sündsasse, sündsate, sündsaid
sunnitud, sunnitu, sunnitut, sunnitusse, sunnitute, sunnituid
sünonüümne, sünonüümse, sünonüümset, sünonüümsesse, sünonüümsete, sünonüümseid
sünteesiv, sünteesiva, sünteesivat, sünteesivasse, sünteesivate, sünteesivaid
sünteetiline, sünteetilise, sünteetilist, sünteetilisesse|sünteetilisse, sünteetiliste, sünteetilisi
supletiivne, supletiivse, supletiivset, supletiivsesse, supletiivsete, supletiivseid
surelik, sureliku, surelikku, surelikusse|surelikku, surelike|surelikkude, surelikke|surelikkusid
surematu, surematu, surematut, surematusse, surematute, surematuid
surmav, surmava, surmavat, surmavasse, surmavate, surmavaid
surnud, surnu, surnut, surnusse, surnute, surnuid
suruv, suruva, suruvat, suruvasse, suruvate, suruvaid
süsteemikas, süsteemika, süsteemikat, süsteemikasse, süsteemikate, süsteemikaid
süsteemitu, süsteemitu, süsteemitut, süsteemitusse, süsteemitute, süsteemituid
süsteemne, süsteemse, süsteemset, süsteemsesse, süsteemsete, süsteemseid
süttiv, süttiva, süttivat, süttivasse, süttivate, süttivaid
süüdimatu, süüdimatu, süüdimatut, süüdimatusse, süüdimatute, süüdimatuid
süüdistav, süüdistava, süüdistavat, süüdistavasse, süüdistavate, süüdistavaid
süüdiv, süüdiva, süüdivat, süüdivasse, süüdivate, süüdivaid
süüdlaslik, süüdlasliku, süüdlaslikku, süüdlaslikusse|süüdlaslikku, süüdlaslike|süüdlaslikkude, süüdlaslikke|süüdlaslikkusid
suuline, suulise, suulist, suulisesse|suulisse, suuliste, suulisi|suuliseid
suunaline, suunalise, suunalist, suunalisesse|suunalisse, suunaliste, suunalisi
suureline, suurelise, suurelist, suurelisesse|suurelisse, suureliste, suurelisi
suur, suure, suurt, suuresse|suurde, suurte, suuri
suurustav, suurustava, suurustavat, suurustavasse, suurustavate, suurustavaid
suurustlev, suurustleva, suurustlevat, suurustlevasse, suurustlevate, suurustlevaid
suuteline, suutelise, suutelist, suutelisesse|suutelisse, suuteliste, suutelisi
suutev, suutva, suutvat, suutvasse, suutvate, suutvaid
suutlik, suutliku, suutlikku, suutlikusse|suutlikku, suutlike|suutlikkude, suutlikke|suutlikkusid
suutmatu, suutmatu, suutmatut, suutmatusse, suutmatute, suutmatuid
süütu, süütu, süütut, süütusse, süütute, süütuid
suvaline, suvalise, suvalist, suvalisesse|suvalisse, suvaliste, suvalisi
süvenematu, süvenematu, süvenematut, süvenematusse, süvenematute, süvenematuid
süvenev, süveneva, süvenevat, süvenevasse, süvenevate, süvenevaid
suveräänne, suveräänse, suveräänset, suveräänsesse, suveräänsete, suveräänseid
suvine, suvise, suvist, suvisesse, suviste, suviseid
taastav, taastava, taastavat, taastavasse, taastavate, taastavaid
tabamatu, tabamatu, tabamatut, tabamatusse, tabamatute, tabamatuid
täbar, täbara, täbarat, täbarasse, täbarate, täbaraid
tabatav, tabatava, tabatavat, tabatavasse, tabatavate, tabatavaid
tabav, tabava, tabavat, tabavasse, tabavate, tabavaid
taevalik, taevaliku, taevalikku, taevalikusse|taevalikku, taevalike|taevalikkude, taevalikke|taevalikkusid
tagiline, tagilise, tagilist, tagilisesse|tagilisse, tagiliste, tagilisi
tagumine, tagumise, tagumist, tagumisesse|tagumisse, tagumiste, tagumisi
tagune, taguse, tagust, tagusesse, taguste, taguseid
tagurlik, tagurliku, tagurlikku, tagurlikusse|tagurlikku, tagurlike|tagurlikkude, tagurlikke|tagurlikkusid
täheline, tähelise, tähelist, tähelisesse|tähelisse, täheliste, tähelisi
tähendav, tähendava, tähendavat, tähendavasse, tähendavate, tähendavaid
tähenduslik, tähendusliku, tähenduslikku, tähenduslikusse|tähenduslikku, tähenduslike|tähenduslikkude, tähenduslikke|tähenduslikkusid
tähestikuline, tähestikulise, tähestikulist, tähestikulisesse|tähestikulisse, tähestikuliste, tähestikulisi
tahetud, tahetu, tahetut, tahetusse, tahetute, tahetuid
tähine, tähise, tähist, tähisesse, tähiste, tähiseid
tahke, tahke, tahket, tahkesse, tahkete, tahkeid
tahmane, tahmase, tahmast, tahmasesse, tahmaste, tahmaseid
tahmunud, tahmunu, tahmunut, tahmunusse, tahmunute, tahmunuid
tähniline, tähnilise, tähnilist, tähnilisesse|tähnilisse, tähniliste, tähnilisi
tahteline, tahtelise, tahtelist, tahtelisesse|tahtelisse, tahteliste, tahtelisi
tahtetu, tahtetu, tahtetut, tahtetusse, tahtetute, tahtetuid
tähtis, tähtsa, tähtsat, tähtsasse, tähtsate, tähtsaid
tahtlik, tahtliku, tahtlikku, tahtlikusse|tahtlikku, tahtlike|tahtlikkude, tahtlikke|tahtlikkusid
tahtmatu, tahtmatu, tahtmatut, tahtmatusse, tahtmatute, tahtmatuid
tähtsusetu, tähtsusetu, tähtsusetut, tähtsusetusse, tähtsusetute, tähtsusetuid
tahuline, tahulise, tahulist, tahulisesse|tahulisse, tahuliste, tahulisi
tahumatu, tahumatu, tahumatut, tahumatusse, tahumatute, tahumatuid
taibukas, taibuka, taibukat, taibukasse, taibukate, taibukaid
taideline, taidelise, taidelist, taidelisesse|taidelisse, taideliste, taidelisi
täidetamatu, täidetamatu, täidetamatut, täidetamatusse, täidetamatute, täidetamatuid
täidetav, täidetava, täidetavat, täidetavasse, täidetavate, täidetavaid
täidetu, täidetu, täidetut, täidetusse, täidetute, täidetuid
täidlane, täidlase, täidlast, täidlasesse|täidlasse, täidlaste, täidlasi|täidlaseid
täielik, täieliku, täielikku, täielikusse|täielikku, täielike|täielikkude, täielikke|täielikkusid
taignane, taignase, taignast, taignasesse|taignasse, taignaste, taignasi|taignaseid
taimeline, taimelise, taimelist, taimelisesse|taimelisse, taimeliste, taimelisi
taimne, taimse, taimset, taimsesse, taimsete, taimseid
tainane, tainase, tainast, tainasesse|tainasse, tainaste, tainasi|tainaseid
taine, taise, taist, taisesse, taiste, taiseid
tainjas, tainja, tainjat, tainjasse, tainjate, tainjaid
taipamatu, taipamatu, taipamatut, taipamatusse, taipamatute, taipamatuid
taiplik, taipliku, taiplikku, taiplikusse|taiplikku, taiplike|taiplikkude, taiplikke|taiplikkusid
täis, täie, täit, täiesse|täide, täite, täisi
täitev, täitva, täitvat, täitvasse, täitvate, täitvaid
täitmatu, täitmatu, täitmatut, täitmatusse, täitmatute, täitmatuid
täiuslik, täiusliku, täiuslikku, täiuslikusse|täiuslikku, täiuslike|täiuslikkude, täiuslikke|täiuslikkusid
tajumatu, tajumatu, tajumatut, tajumatusse, tajumatute, tajumatuid
tajutav, tajutava, tajutavat, tajutavasse, tajutavate, tajutavaid
täkiline, täkilise, täkilist, täkilisesse|täkilisse, täkiliste, täkilisi
täkkeline, täkkelise, täkkelist, täkkelisesse|täkkelisse, täkkeliste, täkkelisi
taktitu, taktitu, taktitut, taktitusse, taktitute, taktituid
takune, takuse, takust, takusesse, takuste, takuseid
talendikas, talendika, talendikat, talendikasse, talendikate, talendikaid
taline, talise, talist, talisesse, taliste, taliseid
talitluslik, talitlusliku, talitluslikku, talitluslikusse|talitluslikku, talitluslike|talitluslikkude, talitluslikke|talitluslikkusid
talitsematu, talitsematu, talitsematut, talitsematusse, talitsematute, talitsematuid
taltsas, taltsa, taltsast, taltsasse, taltsaste, taltsaid
taltsutamatu, taltsutamatu, taltsutamatut, taltsutamatusse, taltsutamatute, taltsutamatuid
taltsutatud, taltsutatu, taltsutatut, taltsutatusse, taltsutatute, taltsutatuid
talumatu, talumatu, talumatut, talumatusse, talumatute, talumatuid
talutav, talutava, talutavat, talutavasse, talutavate, talutavaid
taluv, taluva, taluvat, taluvasse, taluvate, taluvaid
talvine, talvise, talvist, talvisesse, talviste, talviseid
tänamatu, tänamatu, tänamatut, tänamatusse, tänamatute, tänamatuid
tänavune, tänavuse, tänavust, tänavusesse|tänavusse, tänavuste, tänavusi
tänkjas, tänkja, tänkjat, tänkjasse, tänkjate, tänkjaid
tänulik, tänuliku, tänulikku, tänulikusse|tänulikku, tänulike|tänulikkude, tänulikke|tänulikkusid
taoline, taolise, taolist, taolisesse|taolisse, taoliste, taolisi
täpiline, täpilise, täpilist, täpilisesse|täpilisse, täpiliste, täpilisi
täpne, täpse, täpset, täpsesse, täpsete, täpseid
tappev, tapva, tapvat, tapvasse, tapvate, tapvaid
tarbeline, tarbelise, tarbelist, tarbelisesse|tarbelisse, tarbeliste, tarbelisi
tarbetu, tarbetu, tarbetut, tarbetusse, tarbetute, tarbetuid
tardunud, tardunu, tardunut, tardunusse, tardunute, tardunuid
targutav, targutava, targutavat, targutavasse, targutavate, targutavaid
targutlev, targutleva, targutlevat, targutlevasse, targutlevate, targutlevaid
tark, targa, tarka, targasse|tarka, tarkade, tarku|tarkasid
tarvilik, tarviliku, tarvilikku, tarvilikusse|tarvilikku, tarvilike|tarvilikkude, tarvilikke|tarvilikkusid
tasane, tasase, tasast, tasasesse, tasaste, tasaseid
tasuline, tasulise, tasulist, tasulisesse|tasulisse, tasuliste, tasulisi
tasuv, tasuva, tasuvat, tasuvasse, tasuvate, tasuvaid
tatine, tatise, tatist, tatisesse, tatiste, tatiseid
taudiline, taudilise, taudilist, taudilisesse|taudilisse, taudiliste, taudilisi
tauniv, tauniva, taunivat, taunivasse, taunivate, taunivaid
tavaline, tavalise, tavalist, tavalisesse|tavalisse, tavaliste, tavalisi
tavatu, tavatu, tavatut, tavatusse, tavatute, tavatuid
teadev, teadva, teadvat, teadvasse, teadvate, teadvaid
teadlik, teadliku, teadlikku, teadlikusse|teadlikku, teadlike|teadlikkude, teadlikke|teadlikkusid
teadmatu, teadmatu, teadmatut, teadmatusse, teadmatute, teadmatuid
teaduslik, teadusliku, teaduslikku, teaduslikusse|teaduslikku, teaduslike|teaduslikkude, teaduslikke|teaduslikkusid
teadvustamatu, teadvustamatu, teadvustamatut, teadvustamatusse, teadvustamatute, teadvustamatuid
teadvustatud, teadvustatu, teadvustatut, teadvustatusse, teadvustatute, teadvustatuid
teatav, teatava, teatavat, teatavasse, teatavate, teatavaid
teaterlik, teaterliku, teaterlikku, teaterlikusse|teaterlikku, teaterlike|teaterlikkude, teaterlikke|teaterlikkusid
teatraalne, teatraalse, teatraalset, teatraalsesse, teatraalsete, teatraalseid
teemaline, teemalise, teemalist, teemalisesse|teemalisse, teemaliste, teemalisi
teenimatu, teenimatu, teenimatut, teenimatusse, teenimatute, teenimatuid
teeninduslik, teenindusliku, teeninduslikku, teeninduslikusse|teeninduslikku, teeninduslike|teeninduslikkude, teeninduslikke|teeninduslikkusid
teenitud, teenitu, teenitut, teenitusse, teenitute, teenituid
teeriline, teerilise, teerilist, teerilisesse|teerilisse, teeriliste, teerilisi
teeseldud, teeseldu, teeseldut, teeseldusse, teeseldute, teeselduid
teesklev, teeskleva, teesklevat, teesklevasse, teesklevate, teesklevaid
tegelik, tegeliku, tegelikku, tegelikusse|tegelikku, tegelike|tegelikkude, tegelikke|tegelikkusid
tegev, tegeva, tegevat, tegevasse, tegevate, tegevaid
tegevuslik, tegevusliku, tegevuslikku, tegevuslikusse|tegevuslikku, tegevuslike|tegevuslikkude, tegevuslikke|tegevuslikkusid
tegus, tegusa, tegusat, tegusasse, tegusate, tegusaid
tegutsev, tegutseva, tegutsevat, tegutsevasse, tegutsevate, tegutsevaid
tehislik, tehisliku, tehislikku, tehislikusse|tehislikku, tehislike|tehislikkude, tehislikke|tehislikkusid
tehtav, tehtava, tehtavat, tehtavasse, tehtavate, tehtavaid
tehtud, tehtu, tehtut, tehtusse, tehtute, tehtuid
teisendav, teisendava, teisendavat, teisendavasse, teisendavate, teisendavaid
teisene, teisese, teisest, teisesesse, teiseste, teiseseid
tekitav, tekitava, tekitavat, tekitavasse, tekitavate, tekitavaid
tekkeline, tekkelise, tekkelist, tekkelisesse|tekkelisse, tekkeliste, tekkelisi
tekkiv, tekkiva, tekkivat, tekkivasse, tekkivate, tekkivaid
temaatiline, temaatilise, temaatilist, temaatilisesse|temaatilisse, temaatiliste, temaatilisi
tembukas, tembuka, tembukat, tembukasse, tembukate, tembukaid
temperamentne, temperamentse, temperamentset, temperamentsesse, temperamentsete, temperamentseid
teoreetiline, teoreetilise, teoreetilist, teoreetilisesse|teoreetilisse, teoreetiliste, teoreetilisi
teoretiseeriv, teoretiseeriva, teoretiseerivat, teoretiseerivasse, teoretiseerivate, teoretiseerivaid
teostamatu, teostamatu, teostamatut, teostamatusse, teostamatute, teostamatuid
teostatav, teostatava, teostatavat, teostatavasse, teostatavate, teostatavaid
teotatu, teotatu, teotatut, teotatusse, teotatute, teotatuid
terakas, teraka, terakat, terakasse, terakate, terakaid
teraline, teralise, teralist, teralisesse|teralisse, teraliste, teralisi
terane, terase, terast, terasesse, teraste, teraseid
terasene, terasese, terasest, terasesesse|terasesse, teraseste, terasesi
teratoloogiline, teratoloogilise, teratoloogilist, teratoloogilisesse|teratoloogilisse, teratoloogiliste, teratoloogilisi
teravnev, teravneva, teravnevat, teravnevasse, teravnevate, teravnevaid
terav, terava, teravat, teravasse, teravate, teravaid
teritatu, teritatu, teritatut, teritatusse, teritatute, teritatuid
termiline, termilise, termilist, termilisesse|termilisse, termiliste, termilisi
terminaalne, terminaalse, terminaalset, terminaalsesse, terminaalsete, terminaalseid
termofiilne, termofiilse, termofiilset, termofiilsesse, termofiilsete, termofiilseid
territoriaalne, territoriaalse, territoriaalset, territoriaalsesse, territoriaalsete, territoriaalseid
terroriseeriv, terroriseeriva, terroriseerivat, terroriseerivasse, terroriseerivate, terroriseerivaid
tervendav, tervendava, tervendavat, tervendavasse, tervendavate, tervendavaid
tervenenu, tervenenu, tervenenut, tervenenusse, tervenenute, tervenenuid
terve, terve, tervet, tervesse, tervete, terveid
terviklik, tervikliku, terviklikku, terviklikusse|terviklikku, terviklike|terviklikkude, terviklikke|terviklikkusid
tervikuline, tervikulise, tervikulist, tervikulisesse|tervikulisse, tervikuliste, tervikulisi
tervislik, tervisliku, tervislikku, tervislikusse|tervislikku, tervislike|tervislikkude, tervislikke|tervislikkusid
tervitatav, tervitatava, tervitatavat, tervitatavasse, tervitatavate, tervitatavaid
tige, tigeda, tigedat, tigedasse, tigedate, tigedaid
tihe, tiheda, tihedat, tihedasse, tihedate, tihedaid
tihke, tihke, tihket, tihkesse, tihkete, tihkeid
tiine, tiine, tiinet, tiinesse, tiinete, tiineid
tiirane, tiirase, tiirast, tiirasesse, tiiraste, tiiraseid
tiivutu, tiivutu, tiivutut, tiivutusse, tiivutute, tiivutuid
tikkuv, tikkuva, tikkuvat, tikkuvasse, tikkuvate, tikkuvaid
tilgastanud, tilgastanu, tilgastanut, tilgastanusse, tilgastanute, tilgastanuid
tilgatu, tilgatu, tilgatut, tilgatusse, tilgatute, tilgatuid
tilluke, tillukese, tillukest, tillukesesse|tillukesse, tillukeste, tillukesi
tingimatu, tingimatu, tingimatut, tingimatusse, tingimatute, tingimatuid
tinglik, tingliku, tinglikku, tinglikusse|tinglikku, tinglike|tinglikkude, tinglikke|tinglikkusid
tipiline, tipilise, tipilist, tipilisesse|tipilisse, tipiliste, tipilisi
tipmeline, tipmelise, tipmelist, tipmelisesse|tipmelisse, tipmeliste, tipmelisi
tipmine, tipmise, tipmist, tipmisesse|tipmisse, tipmiste, tipmisi|tipmiseid
tipuline, tipulise, tipulist, tipulisesse|tipulisse, tipuliste, tipulisi
tobe, tobeda, tobedat, tobedasse, tobedate, tobedaid
tõbine, tõbise, tõbist, tõbisesse, tõbiste, tõbiseid
tõeline, tõelise, tõelist, tõelisesse|tõelisse, tõeliste, tõelisi|tõeliseid
tõene, tõese, tõest, tõesesse, tõeste, tõeseid
toetav, toetava, toetavat, toetavasse, toetavate, toetavaid
tohe, toheda, tohedat, tohedasse, tohedate, tohedaid
tõhus, tõhusa, tõhusat, tõhusasse, tõhusate, tõhusaid
tohutu, tohutu, tohutut, tohutusse, tohutute, tohutuid
toiduline, toidulise, toidulist, toidulisesse|toidulisse, toiduliste, toidulisi
toimekas, toimeka, toimekat, toimekasse, toimekate, toimekaid
toimeline, toimelise, toimelist, toimelisesse|toimelisse, toimeliste, toimelisi
toimetu, toimetu, toimetut, toimetusse, toimetute, toimetuid
toimiv, toimiva, toimivat, toimivasse, toimivate, toimivaid
toiteline, toitelise, toitelist, toitelisesse|toitelisse, toiteliste, toitelisi
toitev, toitva, toitvat, toitvasse, toitvate, toitvaid
tokerdunu, tokerdunu, tokerdunut, tokerdunusse, tokerdunute, tokerdunuid
tõkestav, tõkestava, tõkestavat, tõkestavasse, tõkestavate, tõkestavaid
toksiline, toksilise, toksilist, toksilisesse|toksilisse, toksiliste, toksilisi
tolerantne, tolerantse, tolerantset, tolerantsesse, tolerantsete, tolerantseid
tõlgitud, tõlgitu, tõlgitut, tõlgitusse, tõlgitute, tõlgituid
tõlkeline, tõlkelise, tõlkelist, tõlkelisesse|tõlkelisse, tõlkeliste, tõlkelisi
tollane, tollase, tollast, tollasesse, tollaste, tollaseid
tolmune, tolmuse, tolmust, tolmusesse, tolmuste, tolmuseid
tolmunud, tolmunu, tolmunut, tolmunusse, tolmunute, tolmunuid
tõmbav, tõmbava, tõmbavat, tõmbavasse, tõmbavate, tõmbavaid
tõmblev, tõmbleva, tõmblevat, tõmblevasse, tõmblevate, tõmblevaid
tõmbunu, tõmbunu, tõmbunut, tõmbunusse, tõmbunute, tõmbunuid
tömp, tömbi, tömpi, tömbisse|tömpi, tömpide, tömpe|tömpisid
tontlik, tontliku, tontlikku, tontlikusse|tontlikku, tontlike|tontlikkude, tontlikke|tontlikkusid
tönts, töntsi, töntsi, töntsisse|töntsi, töntside, töntse|töntsisid
töödeldu, töödeldu, töödeldut, töödeldusse, töödeldute, töödelduid
töökas, tööka, töökat, töökasse, töökate, töökaid
toonane, toonase, toonast, toonasesse, toonaste, toonaseid
töönduslik, tööndusliku, töönduslikku, töönduslikusse|töönduslikku, töönduslike|töönduslikkude, töönduslikke|töönduslikkusid
tooniline, toonilise, toonilist, toonilisesse|toonilisse, tooniliste, toonilisi
toores, toore, toorest, tooresse, tooreste, tooreid
tööstuslik, tööstusliku, tööstuslikku, tööstuslikusse|tööstuslikku, tööstuslike|tööstuslikkude, tööstuslikke|tööstuslikkusid
töötanu, töötanu, töötanut, töötanusse, töötanute, töötanuid
tõotav, tõotava, tõotavat, tõotavasse, tõotavate, tõotavaid
töötav, töötava, töötavat, töötavasse, töötavate, töötavaid
tootlik, tootliku, tootlikku, tootlikusse|tootlikku, tootlike|tootlikkude, tootlikke|tootlikkusid
toov, toova, toovat, toovasse, toovate, toovaid
tore, toreda, toredat, toredasse, toredate, toredaid
tõre, tõreda, tõredat, tõredasse, tõredate, tõredaid
toretsev, toretseva, toretsevat, toretsevasse, toretsevate, toretsevaid
tõrges, tõrksa, tõrgest|tõrksat, tõrksasse, tõrksate, tõrksaid
tõrjuv, tõrjuva, tõrjuvat, tõrjuvasse, tõrjuvate, tõrjuvaid
torkamatu, torkamatu, torkamatut, torkamatusse, torkamatute, torkamatuid
torkav, torkava, torkavat, torkavasse, torkavate, torkavaid
tõrkuv, tõrkuva, tõrkuvat, tõrkuvasse, tõrkuvate, tõrkuvaid
tormakas, tormaka, tormakat, tormakasse, tormakate, tormakaid
tormikas, tormika, tormikat, tormikasse, tormikate, tormikaid
