aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
akumuleeruma, akumuleeruda, akumuleerub, akumuleerutakse, akumuleeruge, akumuleerus, akumuleerunud, akumuleerutud
akvarellima, akvarellida, akvarellib, akvarellitakse, akvarellige, akvarellis, akvarellinud, akvarellitud
alafinantseerima, alafinantseerida, alafinantseerib, alafinantseeritakse, alafinantseerige, alafinantseeris, alafinantseerinud, alafinantseeritud
alahindama, alahinnata, alahindab, alahinnatakse, alahinnake, alahindas, alahinnanud, alahinnatud
alandama, alandada, alandab, alandatakse, alandage, alandas, alandanud, alandatud
alanduma, alanduda, alandub, alandutakse, alanduge, alandus, alandunud, alandutud
alanema, alaneda, alaneb, alanetakse, alanege, alanes, alanenud, alanetud
alarahastama, alarahastada, alarahastab, alarahastatakse, alarahastage, alarahastas, alarahastanud, alarahastatud
alarmeerima, alarmeerida, alarmeerib, alarmeeritakse, alarmeerige, alarmeeris, alarmeerinud, alarmeeritud
alarmima, alarmida, alarmib, alarmitakse, alarmige, alarmis, alarminud, alarmitud
alastama, alastada, alastab, alastatakse, alastage, alastas, alastanud, alastatud
alavääristama, alavääristada, alavääristab, alavääristatakse, alavääristage, alavääristas, alavääristanud, alavääristatud
alaväärtustama, alaväärtustada, alaväärtustab, alaväärtustatakse, alaväärtustage, alaväärtustas, alaväärtustanud, alaväärtustatud
aletama, aletada, aletab, aletatakse, aletage, aletas, aletanud, aletatud
algama, alata, algab, alatakse, alake, algas, alanud, alatud
algatama, algatada, algatab, algatatakse, algatage, algatas, algatanud, algatatud
alglaadima, alglaadida, alglaadib, alglaaditakse, alglaadige, alglaadis, alglaadinud, alglaaditud
algoritmima, algoritmida, algoritmib, algoritmitakse, algoritmige, algoritmis, algoritminud, algoritmitud
algväärtustama, algväärtustada, algväärtustab, algväärtustatakse, algväärtustage, algväärtustas, algväärtustanud, algväärtustatud
alistama, alistada, alistab, alistatakse, alistage, alistas, alistanud, alistatud
alistuma, alistuda, alistub, alistutakse, alistuge, alistus, alistunud, alistutud
allegoriseerima, allegoriseerida, allegoriseerib, allegoriseeritakse, allegoriseerige, allegoriseeris, allegoriseerinud, allegoriseeritud
allieeruma, allieeruda, allieerub, allieerutakse, allieeruge, allieerus, allieerunud, allieerutud
allitereeruma, allitereeruda, allitereerub, allitereerutakse, allitereeruge, allitereerus, allitereerunud, allitereerutud
allkirjastama, allkirjastada, allkirjastab, allkirjastatakse, allkirjastage, allkirjastas, allkirjastanud, allkirjastatud
allrentima, allrentida, allrendib, allrenditakse, allrentige, allrentis, allrentinud, allrenditud
alluma, alluda, allub, allutakse, alluge, allus, allunud, allutud
allutama, allutada, allutab, allutatakse, allutage, allutas, allutanud, allutatud
allüürima, allüürida, allüürib, allüüritakse, allüürige, allüüris, allüürinud, allüüritud
altereerima, altereerida, altereerib, altereeritakse, altereerige, altereeris, altereerinud, altereeritud
alterneerima, alterneerida, alterneerib, alterneeritakse, alterneerige, alterneeris, alterneerinud, alterneeritud
alustama, alustada, alustab, alustatakse, alustage, alustas, alustanud, alustatud
ameerikastama, ameerikastada, ameerikastab, ameerikastatakse, ameerikastage, ameerikastas, ameerikastanud, ameerikastatud
ameerikastuma, ameerikastuda, ameerikastub, ameerikastutakse, ameerikastuge, ameerikastus, ameerikastunud, ameerikastutud
amelema, amelda|ameleda, ameleb, ameldakse|ameletakse, amelge|amelege, ameles, amelnud|amelenud, ameldud|ameletud
amerikaniseerima, amerikaniseerida, amerikaniseerib, amerikaniseeritakse, amerikaniseerige, amerikaniseeris, amerikaniseerinud, amerikaniseeritud
amerikaniseeruma, amerikaniseeruda, amerikaniseerub, amerikaniseerutakse, amerikaniseeruge, amerikaniseerus, amerikaniseerunud, amerikaniseerutud
ammendama, ammendada, ammendab, ammendatakse, ammendage, ammendas, ammendanud, ammendatud
ammenduma, ammenduda, ammendub, ammendutakse, ammenduge, ammendus, ammendunud, ammendutud
ammuma, ammuda, ammub, ammutakse, ammuge, ammus, ammunud, ammutud
ammutama, ammutada, ammutab, ammutatakse, ammutage, ammutas, ammutanud, ammutatud
amnesteerima, amnesteerida, amnesteerib, amnesteeritakse, amnesteerige, amnesteeris, amnesteerinud, amnesteeritud
amortiseerima, amortiseerida, amortiseerib, amortiseeritakse, amortiseerige, amortiseeris, amortiseerinud, amortiseeritud
amortiseeruma, amortiseeruda, amortiseerub, amortiseerutakse, amortiseeruge, amortiseerus, amortiseerunud, amortiseerutud
amplifitseerima, amplifitseerida, amplifitseerib, amplifitseeritakse, amplifitseerige, amplifitseeris, amplifitseerinud, amplifitseeritud
ampsama, ampsata, ampsab, ampsatakse, ampsake, ampsas, ampsanud, ampsatud
ampullima, ampullida, ampullib, ampullitakse, ampullige, ampullis, ampullinud, ampullitud
amputeerima, amputeerida, amputeerib, amputeeritakse, amputeerige, amputeeris, amputeerinud, amputeeritud
