aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
deklameerima, deklameerida, deklameerib, deklameeritakse, deklameerige, deklameeris, deklameerinud, deklameeritud
deklareerima, deklareerida, deklareerib, deklareeritakse, deklareerige, deklareeris, deklareerinud, deklareeritud
deklasseeruma, deklasseeruda, deklasseerub, deklasseerutakse, deklasseeruge, deklasseerus, deklasseerunud, deklasseerutud
deklineeruma, deklineeruda, deklineerub, deklineerutakse, deklineeruge, deklineerus, deklineerunud, deklineerutud
dekvalifitseeruma, dekvalifitseeruda, dekvalifitseerub, dekvalifitseerutakse, dekvalifitseeruge, dekvalifitseerus, dekvalifitseerunud, dekvalifitseerutud
demobiliseeruma, demobiliseeruda, demobiliseerub, demobiliseerutakse, demobiliseeruge, demobiliseerus, demobiliseerunud, demobiliseerutud
demokratiseeruma, demokratiseeruda, demokratiseerub, demokratiseerutakse, demokratiseeruge, demokratiseerus, demokratiseerunud, demokratiseerutud
demoraliseeruma, demoraliseeruda, demoraliseerub, demoraliseerutakse, demoraliseeruge, demoraliseerus, demoraliseerunud, demoraliseerutud
denatureeruma, denatureeruda, denatureerub, denatureerutakse, denatureeruge, denatureerus, denatureerunud, denatureerutud
desarmeeruma, desarmeeruda, desarmeerub, desarmeerutakse, desarmeeruge, desarmeerus, desarmeerunud, desarmeerutud
deserteerima, deserteerida, deserteerib, deserteeritakse, deserteerige, deserteeris, deserteerinud, deserteeritud
deserteeruma, deserteeruda, deserteerub, deserteerutakse, deserteeruge, deserteerus, deserteerunud, deserteerutud
desinfitseerima, desinfitseerida, desinfitseerib, desinfitseeritakse, desinfitseerige, desinfitseeris, desinfitseerinud, desinfitseeritud
desorganiseeruma, desorganiseeruda, desorganiseerub, desorganiseerutakse, desorganiseeruge, desorganiseerus, desorganiseerunud, desorganiseerutud
desorienteerima, desorienteerida, desorienteerib, desorienteeritakse, desorienteerige, desorienteeris, desorienteerinud, desorienteeritud
desorienteeruma, desorienteeruda, desorienteerub, desorienteerutakse, desorienteeruge, desorienteerus, desorienteerunud, desorienteerutud
destabiliseeruma, destabiliseeruda, destabiliseerub, destabiliseerutakse, destabiliseeruge, destabiliseerus, destabiliseerunud, destabiliseerutud
detailiseerima, detailiseerida, detailiseerib, detailiseeritakse, detailiseerige, detailiseeris, detailiseerinud, detailiseeritud
detsentraliseeruma, detsentraliseeruda, detsentraliseerub, detsentraliseerutakse, detsentraliseeruge, detsentraliseerus, detsentraliseerunud, detsentraliseerutud
devalveeruma, devalveeruda, devalveerub, devalveerutakse, devalveeruge, devalveerus, devalveerunud, devalveerutud
devieerima, devieerida, devieerib, devieeritakse, devieerige, devieeris, devieerinud, devieeritud
diafragmeerima, diafragmeerida, diafragmeerib, diafragmeeritakse, diafragmeerige, diafragmeeris, diafragmeerinud, diafragmeeritud
diagnoosima, diagnoosida, diagnoosib, diagnoositakse, diagnoosige, diagnoosis, diagnoosinud, diagnoositud
diferentseeruma, diferentseeruda, diferentseerub, diferentseerutakse, diferentseeruge, diferentseerus, diferentseerunud, diferentseerutud
diftongeeruma, diftongeeruda, diftongeerub, diftongeerutakse, diftongeeruge, diftongeerus, diftongeerunud, diftongeerutud
difundeeruma, difundeeruda, difundeerub, difundeerutakse, difundeeruge, difundeerus, difundeerunud, difundeerutud
dikteerima, dikteerida, dikteerib, dikteeritakse, dikteerige, dikteeris, dikteerinud, dikteeritud
disharmoneeruma, disharmoneeruda, disharmoneerub, disharmoneerutakse, disharmoneeruge, disharmoneerus, disharmoneerunud, disharmoneerutud
diskrimineerima, diskrimineerida, diskrimineerib, diskrimineeritakse, diskrimineerige, diskrimineeris, diskrimineerinud, diskrimineeritud
diskuteerima, diskuteerida, diskuteerib, diskuteeritakse, diskuteerige, diskuteeris, diskuteerinud, diskuteeritud
dislotseeruma, dislotseeruda, dislotseerub, dislotseerutakse, dislotseeruge, dislotseerus, dislotseerunud, dislotseerutud
dispergeeruma, dispergeeruda, dispergeerub, dispergeerutakse, dispergeeruge, dispergeerus, dispergeerunud, dispergeerutud
