aabe, aape, aabet, aapesse, aabete, aapeid
aeratsioon, aeratsiooni, aeratsiooni, aeratsioonisse|aeratsiooni, aeratsioonide, aeratsioone|aeratsioonisid
aeroliit, aeroliidi, aeroliiti, aeroliidisse|aeroliiti, aeroliitide, aeroliite|aeroliitisid
aeronaut, aeronaudi, aeronauti, aeronaudisse|aeronauti, aeronautide, aeronaute|aeronautisid
aeronautika, aeronautika, aeronautikat, aeronautikasse, aeronautikate, aeronautikaid
aeroob, aeroobi, aeroobi, aeroobisse|aeroobi, aeroobide, aeroobe|aeroobisid
aeroobika, aeroobika, aeroobikat, aeroobikasse, aeroobikate, aeroobikaid
aerosool, aerosooli, aerosooli, aerosoolisse|aerosooli, aerosoolide, aerosoole|aerosoolisid
aerostaat, aerostaadi, aerostaati, aerostaadisse|aerostaati, aerostaatide, aerostaate|aerostaatisid
aerutaja, aerutaja, aerutajat, aerutajasse, aerutajate, aerutajaid
aerutamine, aerutamise, aerutamist, aerutamisesse|aerutamisse, aerutamiste, aerutamisi
äestaja, äestaja, äestajat, äestajasse, äestajate, äestajaid
äestamine, äestamise, äestamist, äestamisesse|äestamisse, äestamiste, äestamisi
aetaja, aetaja, aetajat, aetajasse, aetajate, aetajaid
aetamine, aetamise, aetamist, aetamisesse|aetamisse, aetamiste, aetamisi
aevastaja, aevastaja, aevastajat, aevastajasse, aevastajate, aevastajaid
aevastamine, aevastamise, aevastamist, aevastamisesse|aevastamisse, aevastamiste, aevastamisi
aevastus, aevastuse, aevastust, aevastusesse|aevastusse, aevastuste, aevastusi
afäär, afääri, afääri, afäärisse|afääri, afääride, afääre|afäärisid
afaasia, afaasia, afaasiat, afaasiasse, afaasiate, afaasiaid
afekt, afekti, afekti, afektisse|afekti, afektide, afekte|afektisid
afekteerija, afekteerija, afekteerijat, afekteerijasse, afekteerijate, afekteerijaid
afekteerimine, afekteerimise, afekteerimist, afekteerimisesse|afekteerimisse, afekteerimiste, afekteerimisi
afektiivsus, afektiivsuse, afektiivsust, afektiivsusesse|afektiivsusse, afektiivsuste, afektiivsusi|afektiivsuseid
aferist, aferisti, aferisti, aferistisse|aferisti, aferistide, aferiste|aferistisid
afgaan, afgaani, afgaani, afgaanisse|afgaani, afgaanide, afgaane|afgaanisid
afgaani, afgaani, afgaanit, afgaanisse, afgaanide, afgaanisid
afiks, afiksi, afiksit, afiksisse, afiksite, afikseid
afirmeerija, afirmeerija, afirmeerijat, afirmeerijasse, afirmeerijate, afirmeerijaid
afirmeerimine, afirmeerimise, afirmeerimist, afirmeerimisesse|afirmeerimisse, afirmeerimiste, afirmeerimisi
afišš, afiši, afišši, afišisse|afišši, afiššide, afišše|afiššisid
aforism, aforismi, aforismi, aforismisse|aforismi, aforismide, aforisme|aforismisid
afrodisiakum, afrodisiakumi, afrodisiakumit, afrodisiakumisse, afrodisiakumite, afrodisiakumeid
agaav, agaavi, agaavi, agaavisse|agaavi, agaavide, agaave|agaavisid
ägaja, ägaja, ägajat, ägajasse, ägajate, ägajaid
ägamine, ägamise, ägamist, ägamisesse|ägamisse, ägamiste, ägamisi
agan, agana, aganat, aganasse, aganate, aganaid
aganik, aganiku, aganikku, aganikusse|aganikku, aganike|aganikkude, aganikke|aganikkusid
agar, agari, agarit, agarisse, agarite, agareid
agarus, agaruse, agarust, agarusesse|agarusse, agaruste, agarusi
agataja, agataja, agatajat, agatajasse, agatajate, agatajaid
agatamine, agatamise, agatamist, agatamisesse|agatamisse, agatamiste, agatamisi
ägedus, ägeduse, ägedust, ägedusesse|ägedusse, ägeduste, ägedusi
agenda, agenda, agendat, agendasse, agendade, agendasid
ägeneja, ägeneja, ägenejat, ägenejasse, ägenejate, ägenejaid
ägenemine, ägenemise, ägenemist, ägenemisesse|ägenemisse, ägenemiste, ägenemisi
agens, agensi, agensit, agensisse, agensite, agenseid
agent, agendi, agenti, agendisse|agenti, agentide, agente|agentisid
agentuur, agentuuri, agentuuri, agentuurisse|agentuuri, agentuuride, agentuure|agentuurisid
ägestaja, ägestaja, ägestajat, ägestajasse, ägestajate, ägestajaid
ägestamine, ägestamise, ägestamist, ägestamisesse|ägestamisse, ägestamiste, ägestamisi
ägestuja, ägestuja, ägestujat, ägestujasse, ägestujate, ägestujaid
ägestumine, ägestumise, ägestumist, ägestumisesse|ägestumisse, ägestumiste, ägestumisi
ägetseja, ägetseja, ägetsejat, ägetsejasse, ägetsejate, ägetsejaid
ägetsemine, ägetsemise, ägetsemist, ägetsemisesse|ägetsemisse, ägetsemiste, ägetsemisi
ägin, ägina, äginat, äginasse, äginate, äginaid
ägiseja, ägiseja, ägisejat, ägisejasse, ägisejate, ägisejaid
ägisemine, ägisemise, ägisemist, ägisemisesse|ägisemisse, ägisemiste, ägisemisi
agitaator, agitaatori, agitaatorit, agitaatorisse, agitaatorite, agitaatoreid
agitatsioon, agitatsiooni, agitatsiooni, agitatsioonisse|agitatsiooni, agitatsioonide, agitatsioone|agitatsioonisid
agiteerija, agiteerija, agiteerijat, agiteerijasse, agiteerijate, agiteerijaid
agiteerimine, agiteerimise, agiteerimist, agiteerimisesse|agiteerimisse, agiteerimiste, agiteerimisi
agnostik, agnostiku, agnostikut, agnostikusse, agnostikute, agnostikuid
agnostitsism, agnostitsismi, agnostitsismi, agnostitsismisse|agnostitsismi, agnostitsismide, agnostitsisme|agnostitsismisid
agoraa, agoraa, agoraad, agoraasse, agoraade, agoraasid
agorafoobia, agorafoobia, agorafoobiat, agorafoobiasse, agorafoobiate, agorafoobiaid
agraarlane, agraarlase, agraarlast, agraarlasesse|agraarlasse, agraarlaste, agraarlasi|agraarlaseid
agregaat, agregaadi, agregaati, agregaadisse|agregaati, agregaatide, agregaate|agregaatisid
agregeerimine, agregeerimise, agregeerimist, agregeerimisesse|agregeerimisse, agregeerimiste, agregeerimisi
agressiivsus, agressiivsuse, agressiivsust, agressiivsusesse|agressiivsusse, agressiivsuste, agressiivsusi|agressiivsuseid
agressioon, agressiooni, agressiooni, agressioonisse|agressiooni, agressioonide, agressioone|agressioonisid
agressor, agressori, agressorit, agressorisse, agressorite, agressoreid
agronoom, agronoomi, agronoomi, agronoomisse|agronoomi, agronoomide, agronoome|agronoomisid
